average_per_theatre	gross	rank	production_budget	runtime	theaters	ratio	genre	Action	Drama	Comedy	Documentary	Foreign	Horror	Sci-Fi	Romance	Animation	release_year	actors	1	2	3	4	actors_sum	directors	dire_sum	distributor	dist_sum	G	GP	NC-17	Not Yet Rated	PG	PG-13	R	Unknown	Unrated
4940.58477727	9950145.99187	8.0	35000000.0	76.0	2014.0	725	Animation	0	0	0	0	0	0	0	0	1	11	Ewan McGregor,Ben Kingsley,Jim Broadbent,Hugh Laurie	2168282100	956069508	950333706	762849878	4837535192		0	Buena Vista	33027626266	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19036.0799203	38529585.3442	2.0	17000000.0	122.0	2024.0	2404	Comedy / Drama	0	1	1	0	0	0	0	0	0	3	Morris Chestnut,Taye Diggs,Regina Hall,Terrence Howard,Sanaa Lathan,Nia Long,Harold Perrineau	601253398	242165948	856056048	1701827220	3401302616	Malcolm D. Lee	213702324	Universal	36694261943	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
4241.83141848	267237.955636	41.0	0.0	90.0	63.0	21	Family Adventure	0	0	0	0	0	0	0	0	0	13		0	0	0	0	0		0	Innovation Film Group	967909	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
340.163643795	340.163643795	134.0	0.0	81.0	1.0	0	Action	1	0	0	0	0	0	0	0	0	8		0	0	0	0	0		0	Regent Releasing	4586827	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
12570.6314204	35963963.4512	1.0	37000000.0	123.0	2861.0	2782	Crime Drama	0	1	0	0	0	0	0	0	0	6	Ben Affleck,Jon Hamm,Rebecca Hall,Chris Cooper,Jeremy Renner,Blake Lively,Pete Postlethwaite	2014448104	594844906	113272027	1844987577	4567552615	Ben Affleck	23205606	Warner Bros.	39991126884	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
14162.0	325729.0	0.0	0.0	112.0	23.0	20	Animation	0	0	0	0	0	0	0	0	1	1		0	0	0	0	0		0	Eleven Arts	1870241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
5688.0701283	9128490.98307	6.0	0.0	89.0	1605.0	1613	Fantasy Comedy	0	0	1	0	0	0	0	0	0	24		0	0	0	0	0	Peter Hyams	249080107	Warner Bros.	12344589893	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
8175.17507258	15751792.3831	2.0	0.0	114.0	1927.0	4116	Action	1	0	0	0	0	0	0	0	0	27	Patrick Swayze,Sam Elliott	398948425	45305646	0	0	444254072	Rowdy Herrington	0	United Artists	970264594	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3276.18659677	4278369.01844	6.0	0.0	107.0	1306.0	1601	Unknown	0	0	0	0	0	0	0	0	0	27		0	0	0	0	0		0	Columbia	5685016553	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
18131.9427671	45473141.2344	1.0	11000000.0	95.0	2508.0	2899	Comedy	0	0	1	0	0	0	0	0	0	17	Jason Biggs,Chris Klein,Alyson Hannigan,Shannon Elizabeth,Tara Reid,Seann William Scott,Eugene Levy,Mena Suvari,Jennifer Coolidge	0	21200702	0	0	21200702	Paul Weitz,Chris Weitz	0	Universal	18367458537	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3373.79160961	11994931.0468	4.0	103000000.0	100.0	3555.0	552	Comedy	0	0	1	0	0	0	0	0	0	3	Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,John Goodman,Heather Graham,Ken Jeong,Melissa McCarthy	1692224628	1287633740	1573499747	1183596270	5736954387	Todd Phillips	1007144061	Warner Bros.	45441712306	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
18033.9021739	18033.9021739	92.0	0.0	104.0	1.0	1	Documentary	0	0	0	1	0	0	0	0	0	13		0	0	0	0	0		0	Artistic License	2538960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
6700.88279348	67007.5397989	59.0	0.0	114.0	10.0	5	Foreign	0	0	0	0	1	0	0	0	0	13		0	0	0	0	0		0	Sundance Film Series	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
124815.97795	124815.97795	44.0	0.0	127.0	1.0	4	Foreign	0	0	0	0	1	0	0	0	0	2		0	0	0	0	0		0	CJ Entertainment	1616404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
4715.28314343	235781.016284	33.0	0.0	143.0	50.0	8	Foreign	0	0	0	0	1	0	0	0	0	5		0	0	0	0	0		0	Reliance Big Pictures	12689037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
18809.6594112	112857.956467	47.0	0.0	100.0	6.0	11	Drama	0	1	0	0	0	0	0	0	0	11	Elijah Wood,Jason Schwartzman	2541728843	138556319	0	0	2680285162		0	Warner Independent	122608677	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
9953.15478292	29858.3212277	67.0	0.0	117.0	3.0	2	Drama	0	1	0	0	0	0	0	0	0	9		0	0	0	0	0		0	Tartan	3224111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
6188.12024947	11300215.4167	3.0	0.0	118.0	1826.0	2674	Comedy	0	0	1	0	0	0	0	0	0	24	Dustin Hoffman,Geena Davis,Andy Garcia,Tom Arnold	1605133833	501328375	275382688	60684762	2442529659	Stephen Frears	93848601	Columbia	8097998246	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
