actors	assoc_producers	average_per_theatre	cinematographers	composers	directors	distributor	domestic	exec_producers	foreign	genre	gross	gross2	gross_to_date	line_producers	mpaa_rating	producers	production_budget	rank	release_date	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
Jake Gyllenhaal,Robert Downey, Jr.,Mark Ruffalo,Brian Cox,Anthony Edwards,Chloe Sevigny		7178.0	Harris Savides		David Fincher	Paramount	33080084.0		51705830.0	Thriller	16954103.0	8895894.0	16954103.0		R	Cean Chaffin,Brad Fischer	65000000.0	2.0	2007-03-02	156.0	2362.0		Zodiac (2007)	2007-03-02	1.0		84785914.0	James Vanderbilt
		3418.0				Kino Lorber	21327.0			Documentary	3418.0	7944.0	3418.0		Unrated				2014-10-01	94.0	1.0		The Decent One (2014)	2014-09-26	0.0		21327.0	
		4480.0				Rocky Mountain Pictures	71737.0			Documentary	4480.0	6368.0	4480.0		Unrated			78.0	2012-07-06	108.0	1.0		Runaway Slave (2012)	2012-07-06	1.0			
Tom Cruise,Brad Pitt,Kirsten Dunst,Antonio Banderas,Thandie Newton		17735.0		Elliot Goldenthal	Neil Jordan	Warner Bros.	105264608.0		118400000.0	Period Horror	46181836.0	25422874.0	46181836.0		R		60000000.0	1.0	1994-11-11	123.0	2604.0		Interview with the Vampire (1994)	1994-11-11	1.0		223664608.0	
		1319.0				Variance Films	3062.0			Documentary	1319.0	637.0	1319.0		Unrated			107.0	2011-09-16	89.0	1.0		The Weird World of Blowfly (2011)	2011-09-16	1.0			
		1679.0				Music Box Films	233007.0		11987449.0	Foreign	5038.0	43523.0	5038.0		Unrated			88.0	2011-08-31	130.0	3.0		Gainsbourg: A Heroic Life (2011)	2011-08-26	0.0		12220456.0	
Denzel Washington,Ryan Reynolds,Vera Farmiga,Brendan Gleeson,Robert Patrick,Sam Shepard,Joel Kinnaman		17400.0		Ramin Djawadi	Daniel Espinosa	Universal	126373434.0		81702771.0	Action Thriller	54269615.0	32426945.0	54269615.0		R	Scott Aversano,Marc D. Evans,Trevor Macy,Scott Stuber	85000000.0	2.0	2012-02-10	117.0	3119.0		Safe House (2012)	2012-02-10	1.0		208076205.0	David Guggenheim
Sam Neill,Jeff Goldblum,Laura Dern,Richard Attenborough,Samuel L. Jackson		2340.0		John Williams	Steven Spielberg	Universal	402453882.0		626700000.0	Sci-Fi Horror	3132632.0	78584853.0	3132632.0		PG-13	Kathleen Kennedy,Gerald R. Molen,Colin Wilson	63000000.0	10.0	1993-06-11	127.0	1339.0		Jurassic Park (1993)	1993-06-04	0.0		1029153882.0	David Koepp
		5461.0				Miramax	125900.0			Foreign	21842.0	45800.0	57643.0		PG			67.0	2001-12-07	94.0	4.0		Baran (2001)	2002-05-03	4.0		125900.0	
Julianne Hough,Andie MacDowell,Dennis Quaid,Miles Teller,Kenny Wormald		5639.0		Deborah Lurie	Craig Brewer	Paramount	51802742.0		11740586.0	Musical	20013031.0	13029768.0	20013031.0		PG-13	Gary Barber,Roger Birnbaum,Jonathan Glickman,Neil Meron,Craig Zadan	24000000.0	2.0	2011-10-14	113.0	3549.0		Footloose (2011) (2011)	2011-10-14	1.0		63543328.0	Craig Brewer
Jeff Bridges,Tim Robbins		6448.0			Mark Pellington	Sony / Columbia	24756177.0		16311134.0	Thriller	10517295.0	6157944.0	10517295.0		R	Tom Rosenberg	31000000.0	9.0	1999-07-09	119.0	1631.0		Arlington Road (1999)	1999-07-09	1.0		41067311.0	Ehren Kruger
Tony Leung,Joan Chen		108350.0		Alexandre Desplat	Ang Lee	Focus Features	4604982.0		62486933.0	Foreign	108350.0	541053.0	108350.0		NC-17		15000000.0	46.0	2007-09-28	158.0	1.0		Lust, Caution (2007)	2007-09-28	1.0		67091915.0	James Schamus
Matt Damon,Jason Isaacs,Brendan Gleeson,Greg Kinnear,Amy Ryan		6240.0		John Powell	Paul Greengrass	Universal	35053660.0		59828889.0	Thriller	18739030.0	8351495.0	18739030.0		R	Tim Bevan,Eric Fellner	100000000.0	2.0	2010-03-12	115.0	3003.0		Green Zone (2010)	2010-03-12	1.0		94882549.0	Brian Helgeland
Jon Bon Jovi		2943.0		Michael Wandmacher	Jeff Wadlow	Rogue Pictures	10047674.0		5537821.0	Horror	5265458.0	2741600.0	5265458.0		PG-13	Doug Liman	1000000.0	5.0	2005-09-16	90.0	1789.0		Cry Wolf (2005)	2005-09-16	1.0		15585495.0	Jeff Wadlow
		5143.0				Sony Classics	302232.0		1476559.0	Foreign	41144.0	21912.0	41144.0		PG-13			55.0	2009-05-22	90.0	8.0		O'Horten (2009)	2009-05-22	1.0		1778791.0	
Renee Zellweger,Jodelle Ferland,Ian McShane,Bradley Cooper		3152.0			Christian Alvart	Paramount Vantage	13261851.0		14928128.0	Horror Thriller	6969700.0	3747598.0	6969700.0		R	Steve Golin,Kevin Misher	26000000.0	7.0	2010-10-01	109.0	2211.0		Case 39 (2010)	2010-10-01	1.0		28189979.0	Ray Wright
Donald Faison,Mos Def,Mike Epps		4717.0				Summit Entertainment	10027047.0		145472.0	Action Comedy	5368343.0	2943759.0	5368343.0		R			5.0	2009-05-08	84.0	1138.0		Next Day Air (2009)	2009-05-08	1.0		10172519.0	
Colin Farrell,Samuel L. Jackson,Michelle Rodriguez,LL Cool J,Jeremy Renner,Olivier Martinez,Colin Egglesfield		16099.0	Gabriel Beristain	Elliot Goldenthal	Clark Johnson	Sony / Columbia	116934650.0		90790989.0	Action Thriller	51550357.0	25715381.0	51550357.0		PG-13	Todd Black,Louis D'Esposito,Dan Halsted,Neal H. Moritz	80000000.0	1.0	2003-08-08	111.0	3202.0		S.W.A.T. (2003)	2003-08-08	1.0		207725639.0	David Ayer
Jamie Lee Curtis,George Lopez,Marisa Tomei		4107.0				Lionsgate	3618912.0			Family	1807051.0	984984.0	1807051.0		PG-13	George Lopez		17.0	2015-01-16	83.0	440.0		Spare Parts (2015)	2015-01-16	1.0		3618912.0	
		10476.0				CJ Entertainment	234573.0			Foreign	136192.0	63977.0	136192.0		Unrated			40.0	2015-01-16	131.0	13.0		20 Once Again (2015)	2015-01-16	1.0		234573.0	
Helen Mirren,Clive Owen		10667.0				IDP	1443067.0		517987.0	Comedy	96002.0	198900.0	96002.0		R			44.0	2001-07-27	91.0	9.0		Greenfingers (2001)	2001-07-27	1.0		1961054.0	
						Samuel Goldwyn	174197.0			Documentary	79784.0	56469.0	79784.0		Unrated			37.0	2013-06-21	93.0			Somm (2013)	2013-06-14	0.0			
		4412.0				Indican	54444.0			Comedy	8824.0	2818.0	8824.0		Unrated			91.0	2004-08-13	92.0	2.0		L.A. Twister (2004)	2004-08-13	1.0			
