	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
693		13859.0				Universal	171196610.33		Musical	47653834.8639	35390108.6184	19401963.0	R			2.0	1982-07-23		114.0	1400.0		The Best Little Whorehouse in Texas (1982)	1982-07-23	1.0			
694	Kristen Wiig,Bill Hader,Ty Burrell,Luke Wilson,Boyd Holbrook	33725.0			Craig Johnson	Roadside Attractions	5290581.34907		Drama	506470.455655	586820.716431	505870.0	R	Jay Duplass,Mark Duplass		25.0	2014-09-12		93.0	15.0		The Skeleton Twins (2014)	2014-09-12	1.0		5284309.0	Mark Heyman,Craig Johnson
695		2319.0				First Run	3416.07775441		Documentary	2443.51767813	972.560076287	2319.0	Unrated			112.0	2011-10-07		82.0	1.0		The Sons of Tennessee Williams (2011)	2011-10-07	1.0			
696	Brandon Routh,Kate Bosworth,Kevin Spacey,James Marsden,Parker Posey,Frank Langella,Kal Penn	8189.0	Newton Thomas Sigel	John Ottman,John Williams	Bryan Singer	Warner Bros.	235231368.474	191000000.0	Action / Adventure	37690457.4482	103188196.095	32058444.0	PG-13	Gilbert Adler,Scott Mednick,Jon Peters,Bryan Singer,Thomas Tull	270000000.0	3.0	2006-06-28		154.0	3915.0		Superman Returns (2006)	2006-06-23	0.0		391081192.0	Michael Dougherty,Dan Harris
697		7763.0				Strand	18722.279872	32831.0	Foreign	9421.21336918	4128.68322581	7763.0	Unrated			93.0	2005-08-26		93.0	1.0		Formula 17 (2005)	2005-08-26	1.0		48258.0	
698	Orlando Bloom,Zoe Saldana,Bill Paxton,Anthony Mackie	2375.0		Heitor Pereira		Yari Film Group	167514.351245	54829.0	Crime Drama	67013.735119	78591.8274603	57000.0	R	Bob Yari		58.0	2006-09-15		99.0	24.0		Haven (2006)	2006-09-15	1.0		197312.0	
699		1371.0				Monterey Media, Inc.	15073.0		Drama	1371.0	580.0	1371.0	PG-13			94.0	2016-02-12		97.0	1.0		Of Mind and Music (2016)	2016-02-12	1.0			
700		374.0				Roadside Attractions	34198.5822259		Comedy	33077.2266788	1030.76327626	29940.0	PG			60.0	2009-03-20		90.0	80.0		Super Capers (2009)	2009-03-20	1.0			
701	Terrence Jenkins,Cher,Christina Aguilera,Eric Dane,Cam Gigandet,Julianne Hough,Alan Cumming,Peter Gallagher,Kristen Bell,Stanley Tucci,Dianna Agron	1762.0		Christophe Beck	Steven Antin	Sony / Screen Gems	42870206.3971	50079118.0	Musical	5817891.48188	16852283.0472	5352469.0	PG-13		55000000.0	8.0	2010-11-24		100.0	3037.0		Burlesque (2010)	2010-11-19	0.0		89519773.0	Steven Antin
702	Meryl Streep,Anne Hathaway,Emily Blunt,Stanley Tucci,Adrien Grenier,Simon Baker	16893.0		Theodore Shapiro	David Frankel	Fox	146654809.563	201810634.0	Comedy	56545209.1767	29402226.9049	48095766.0	PG-13	Karen Rosenfelt	35000000.0	2.0	2006-06-30		106.0	2847.0		The Devil Wears Prada (2006)	2006-06-30	1.0		326551094.0	Aline Brosh McKenna
703		2046.0				Tribeca Film	25184.3536114		Documentary	4311.71812803	1551.03838819	4092.0	Unrated				2011-08-26		90.0	2.0		Shut Up Little Man (2011)	2011-08-26	1.0			
704		3876.0				Rialto	25450.0		Drama	3876.0	13222.0	3876.0	Unrated			87.0	2015-08-26		145.0	1.0		The Army of Shadows (2015 re-release) (2015)	2015-08-21	0.0			
705	Nick Kroll,Rose Byrne,Joel McHale,Bobby Cannavale	4627.0				Radius-TWC	108808.0		Comedy / Drama	46273.0	39510.0	46273.0	R			50.0	2015-04-24		90.0	10.0		Adult Beginners (2015)	2015-04-24	1.0			
706		1996.0				Kino	4939.52838093	272746.0	Foreign	2197.30301947	2742.22536147	1996.0	Unrated			104.0	2008-07-18		92.0	1.0		Wonderful Town (2008)	2008-07-18	1.0		277233.0	
707	Leon Russell	3992.0			Les Blank	Janus Films	96592.0		Documentary	3992.0	12554.0	3992.0	Unrated			77.0	2015-07-01		90.0	1.0		A Poem Is a Naked Person (2015 re-issue) (2015)	2015-06-26	0.0			
708		54370.0			R.J. Cutler	Roadside Attractions	4220348.09911	2622233.0	Documentary	360399.253691	271689.534472	326217.0	PG-13	R.J. Cutler		30.0	2009-08-28		89.0	6.0		The September Issue (2009)	2009-08-28	1.0		6442300.0	
709		7132.0				Empire	359790.106953	3989473.0	Foreign	17309.6439887	35819.5430364	14260.0	Unrated			64.0	2005-06-03		106.0	2.0		Caterina in the Big City (2005)	2005-06-03	1.0		4285937.0	
710	Michael Douglas,Andy Garcia	7909.0		Hans Zimmer	Ridley Scott	Paramount	88330989.0317	88000000.0	Action Thriller	24338805.5189	16370102.8361	12733314.0	R	Sherry Lansing		1.0	1989-09-22		125.0	1610.0		Black Rain (1989)	1989-09-22	1.0		134212055.0	
711		21172.0				Drafthouse	495405.077431		Documentary	43081.9758496	68205.3281464	42344.0	Unrated			48.0	2013-07-19		115.0	2.0		Act of Killing (2013)	2013-07-19	1.0		486919.0	
712	Billy Crystal,Meg Ryan,Carrie Fisher	54598.0	Barry Sonnenfeld		Rob Reiner	Columbia	177425470.986		Romantic Comedy	4278787.62105	26873906.8566	2238530.0	R			12.0	1989-07-14		96.0	41.0		When Harry Met Sally... (1989)	1989-07-14	1.0			Nora Ephron
713	Ralph Fiennes	12049.0	Christopher Doyle		James Ivory	Sony Classics	2026684.67233	2422711.0	Period Drama	146223.590778	119237.876431	120487.0	PG-13			37.0	2005-12-21		135.0	10.0		The White Countess (2005)	2005-12-23	1.0		4092682.0	
714	Samuel L. Jackson,Uma Thurman	10956.0			Quentin Tarantino	Miramax	83072868.7671	85951278.0	Action	40843267.5647	17872183.446	32551645.0	R	Lawrence Bender	30000000.0	1.0	2004-04-16		120.0	2971.0		Kill Bill Vol. 2 (2004)	2004-04-16	1.0		152159461.0	Quentin Tarantino
715	Jennifer Lawrence,John Hawkes	30753.0			Debra Granik	Roadside Attractions	7099448.06174	7265331.0	Drama	133708.474906	547761.052193	123012.0	R		2000000.0	36.0	2010-06-11		100.0	4.0		Winter's Bone (2010)	2010-06-11	1.0		13796834.0	Debra Granik
716		13811.0				IFC	1046856.91354		Documentary	71288.648449	136036.447782	69056.0	Unrated			44.0	2012-05-04		90.0	5.0		First Position (2012)	2012-05-04	1.0		1014071.0	
717	Willem Dafoe			Michael Brook	Paul Schrader	Lions Gate	9204481.03631		Drama	37861.648135	146963.626828	26038.0	R		6000000.0	24.0	1998-12-30		115.0			Affliction (1998)	1998-12-25	0.0			
718	Emile Hirsch,Kieran Culkin,Vincent D'Onofrio,Jena Malone,Jodie Foster	9778.0		Marco Beltrami		ThinkFilm	2392388.20282	220735.0	Drama	115939.388549	400517.887715	88000.0	R	Graham King		35.0	2002-06-14		105.0	9.0		The Dangerous Lives of Altar Boys (2002)	2002-06-14	1.0		2036599.0	
719		6996.0				Embrem Entertainment	14460.845691		Comedy	7604.33527167	2532.60451444	6996.0	Unrated				2010-11-05		99.0	1.0		Violet Tendencies (2010)	2010-11-05	1.0			
720		5406.0				Palm	29786.8538478		Unknown	6963.66251087	10830.6463913	5406.0	Unrated			106.0	2003-03-21		102.0	1.0		Fulltime Killer (2003)	2003-03-21	1.0		23124.0	
721		12876.0				Captured Light Distribution	13729552.8915	5055872.0	Comedy / Drama	16155.8014399	13024.0151403	12876.0	Unrated			84.0	2004-02-06		111.0	1.0		What the #$*! Do We Know?! (2004)	2004-02-06	1.0		15998178.0	
722	Vanessa Hudgens,Ben Kingsley	2130.0		Ramin Djawadi,Hans Zimmer		Universal	8633638.45733	21402720.0	Family Adventure	5497784.34873	2446036.77028	4381675.0	PG	Tim Bevan,Eric Fellner	57000000.0	12.0	2004-07-30		95.0	2057.0		Thunderbirds (2004)	2004-07-30	1.0		28283637.0	
723	Antonio Banderas,Rebecca Romijn	614.0			Brian De Palma	Warner Bros.	8735310.94099	10208658.0	Crime Thriller	862467.841445	4987209.21304	654628.0	R			25.0	2002-11-06		115.0	1066.0		Femme Fatale (2002)	2002-11-01	0.0		16838910.0	
724	Dennis Quaid,Winona Ryder,Alec Baldwin	4432.0				Orion Pictures	26265038.855		Music Drama	12003928.5763	6330414.41876	6280086.0	PG-13			7.0	1989-06-30		108.0	1417.0		Great Balls of Fire! (1989)	1989-06-30	1.0			
725		3945.0				Indican	22492.2832068		Horror Thriller	8026.4903523	9221.96838043	7889.0	Unrated			97.0	2013-10-02		90.0	2.0		Murder 11 (2013)	2013-09-27	0.0			
726	Anthony Hopkins,Bridget Fonda,Matthew Broderick,John Cusack,Dana Carvey,Michael Lerner,Colm Meaney,Lara Flynn Boyle	4164.0		Rachel Portman	Alan Parker	Sony / Columbia	10495459.8092		Period Comedy	5368094.39804	3124426.22439	3356517.0	R	Marc Abraham,Tom Rosenberg		5.0	1994-10-28		120.0	806.0		The Road to Wellville (1994)	1994-10-28	1.0			
727	Eugenio Derbez,Jennifer Garner,Martin Henderson,Queen Latifah,John Carroll Lynch	1167.0			Patricia Riggen	TriStar	61561170.0	11420153.0	Drama	3557053.0	21052960.0	3557053.0	PG	T.D. Jakes,Joe Roth	13000000.0	10.0	2016-03-16		109.0	3047.0		Miracles from Heaven (2016)	2016-03-11	0.0		72981323.0	
728		8613.0				Samuel Goldwyn	177189.069863		Documentary	60362.5639827	31776.6734379	60291.0	Unrated			51.0	2014-03-21		77.0	7.0		Anita (2014)	2014-03-21	1.0			
729		5911.0				Yash Raj	997536.562448	14369905.0	Foreign	574324.580191	229821.053134	502419.0	Unrated			25.0	2007-04-27		156.0	85.0		Ta Ra Rum Pum (2007)	2007-04-27	1.0		15242548.0	
730	Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris,Berenice Marlohe,Ben Whishaw,Albert Finney	4752.0	Roger Deakins	Thomas Newman	Sam Mendes	Sony / Columbia	314200544.325	804200736.0	Action	2271128.16537	121440431.487	2200000.0	PG-13	Barbara Broccoli,Michael G. Wilson	200000000.0	15.0	2012-11-09		143.0	463.0		Skyfall (2012)	2012-11-02	0.0		1108561013.0	John Logan,Neal Purvis,Robert Wade
731	Daniel Craig,Christoph Waltz,Ralph Fiennes,Dave Bautista,Monica Bellucci,Lea Seydoux,Ben Whishaw,Naomie Harris	24256.0		Thomas Newman	Sam Mendes	Sony / Columbia	200074609.0	680600000.0	Action	95300181.0	43802698.0	95300181.0	PG-13	Barbara Broccoli,Michael G. Wilson	245000000.0	1.0	2015-11-06		148.0	3929.0		Spectre (2015)	2015-11-06	1.0		880674609.0	John Logan
