	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
2522	Naomi Watts,Simon Baker,Mary Elizabeth Winstead	13291.0	Gabriel Beristain	James Newton Howard,Hans Zimmer		DreamWorks	112276157.875	85220289.0	Horror	53744840.1996	21931905.1048	44285293.0	PG-13	Chris Bender,Roy Lee,Michelle Weisler		1.0	2005-03-18	11.0	107.0	3332.0		The Ring Two (2005)	2005-03-18	1.0		161451538.0	Ehren Kruger
2523	Jessica Lange,Sam Shepard	47182.0				Buena Vista	50165475.4197		Unknown	107631.723715	477476.335448	47182.0	PG			19.0	1984-09-28	32.0	110.0	1.0		Country (1984)	1984-09-28	1.0			
2524	Kirsten Dunst,Lizzy Caplan,Isla Fisher,Rebel Wilson,Adam Scott,James Marsden	5380.0			Leslye Headland	Radius-TWC	477387.830422	11500000.0	Comedy	261027.986363	146596.16142	252853.0	R			34.0	2012-09-07	4.0	91.0	47.0		Bachelorette (2012)	2012-09-07	1.0		11947954.0	Leslye Headland
2525		4959.0				Paramount	526205206.087		Music Drama	13452506.6556	13336423.0585	5653053.0	R	Jerry Bruckheimer,Jon Peters		2.0	1983-04-15	33.0	95.0	1140.0		Flashdance (1983)	1983-04-15	1.0			Joe Eszterhas
2526		12721.0				Rialto	17201.7635758		Drama	12736.0995244	2995.55143282	12721.0	Unrated			71.0	2014-05-23	2.0	103.0	1.0		Accident (2014)	2014-05-23	1.0			
2527	Cecile de France	1965.0			Alexandre Aja	Lions Gate	5421607.97292	2610892.0	Foreign / Horror	3154895.30117	1184400.52694	2599607.0	R			13.0	2005-06-10	11.0	85.0	1323.0		High Tension (2005)	2005-06-10	1.0		6291958.0	Gregory Levasseur
2528	Michael Clarke Duncan	1877.0				IDP	143522.015234		Action Comedy	102488.917819	13727.0828827	84450.0	PG-13			55.0	2005-03-25	11.0	90.0	45.0		D.E.B.S. (2005)	2005-03-25	1.0			
2529	Sam Worthington,Helen Mirren,Ciaran Hinds,Tom Wilkinson,Jessica Chastain,Marton Csokas,Jesper Christensen	1065.0		Thomas Newman	John Madden	Focus Features	34615565.4276	14458820.0	Drama / Thriller	2003509.58277	16011459.899	1901414.0	R	Matthew Vaughn	20000000.0	17.0	2011-08-31	5.0	113.0	1786.0		The Debt (2011)	2011-08-26	0.0		45636368.0	Jane Goldman,Peter Straughan,Matthew Vaughn
2530		17259.0				Regent Releasing	592910.623129		Documentary	43310.4965908	30240.0567337	34472.0	Unrated			63.0	2004-06-18	12.0	89.0	2.0		The Hunting of the President (2004)	2004-06-18	1.0		376612.0	
2531	Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,Mia Wasikowska	38551.0		James Newton Howard	Edward Zwick	Paramount Vantage	34714013.0613	22510406.0	War	84876.8838195	180245.999642	77101.0	R	Pieter Jan Brugge	32000000.0	53.0	2008-12-31	8.0	137.0	2.0		Defiance (2008)	2008-12-26	0.0		51155219.0	
2532	Jackie Chan	4025.0				TriStar	36868172.3806	12049509.0	Action Comedy	13727850.7417	9026001.52958	10657145.0	PG-13			5.0	2003-08-22	13.0	88.0	2648.0		The Medallion (2003)	2003-08-22	1.0		34268701.0	
2533	Nicolas Cage,Maria Bello,Maggie Gyllenhaal,Viola Davis	2783.0		Craig Armstrong	Oliver Stone	Paramount	97141062.6827	92691347.0	Drama / Thriller	9171613.82931	31041938.9624	7801117.0	PG-13	Michael Shamberg,Stacey Sher	65000000.0	8.0	2006-08-09	10.0	125.0	2803.0		World Trade Center (2006)	2006-08-04	0.0		162970240.0	
2534	Guy Pearce	2811.0				Lions Gate	168608.899415		Unknown	17632.6093224	7744.14464796	14053.0	R			97.0	2004-05-14	12.0	111.0	5.0		A Slipping Down Life (2004)	2004-05-14	1.0			
2535	Hugh Bonneville,Sally Hawkins,Nicole Kidman,Ben Whishaw,Jim Broadbent,Julie Walters	8378.0		Nick Urata	Paul King	Weinstein / Dimension	76271832.0	183317852.0	Family	27671430.0	14363964.0	27671430.0	PG	David Heyman	55000000.0	3.0	2015-01-16	1.0	95.0	3303.0		Paddington (2015)	2015-01-16	1.0		259589684.0	Paul King
2536	Ashley Judd,Laura Prepon,Diane Ladd,Scott Wilson,Tim Blake Nelson	3072.0			Joey Lauren Adams	IDP	165109.234427	41956.0	Romance	79452.4249008	41095.8791419	67580.0	R	Julie Yorn		46.0	2006-11-10	10.0	97.0	22.0		Come Early Morning (2006)	2006-11-10	1.0		161408.0	Joey Lauren Adams
2537	Geoffrey Rush	611.0				Miramax	1828283.8095		Comedy	5412.25735202	66228.8997882	3665.0	R			18.0	1997-05-01	19.0	99.0	6.0		Children of the Revolution (1997)	1997-04-25	0.0			
2538		14191.0				Variance Films	154273.587112		Documentary	14207.8443794	35424.9987792	14192.0	Unrated			64.0	2014-06-06	2.0	90.0	1.0		Citizen Koch (2014)	2014-06-06	1.0			
2539		1710.0				Lions Gate	2491606.16447		Crime Drama	419171.785448	1142120.96603	345394.0	R			22.0	2005-04-13	11.0	94.0	202.0		State Property 2 (2005)	2005-04-08	0.0		1691706.0	
2540		4009.0				Walking Shadows	64561.4597916		Documentary	4357.60150145	10010.8530378	4009.0	Unrated			90.0	2010-06-18	6.0	94.0	1.0		The Nature of Existence (2010)	2010-06-18	1.0			
2541	Joaquin Phoenix,John Travolta,Billy Burke	8565.0	James L. Carter	William Ross	Jay Russell	Buena Vista	117353058.178	26030337.0	Action Drama	35032647.1251	21735944.4909	27920643.0	PG-13	Casey Silver		2.0	2004-10-01	12.0	115.0	3260.0		Ladder 49 (2004)	2004-10-01	1.0		100572044.0	Lewis Colick
2542	Jeff Garlin,Fred Willard,Jane Lynch,Gina Gershon,Timothy Olyphant	11716.0				IFC	18538.6796714		Comedy	11920.1877256	5128.85509772	11716.0	Unrated	John Sloss		77.0	2013-07-12	3.0	88.0	1.0		Dealin' With Idiots (2013)	2013-07-12	1.0			
2543	Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody,Kerry Washington,Keith David,Michelle Monaghan	20637.0		John Powell	Doug Liman	Fox	274442853.203	291871241.0	Action Comedy	85754477.5595	46150123.7649	70660963.0	PG-13	Akiva Goldsman,Arnon Milchan	110000000.0	1.0	2005-06-10	11.0	115.0	3424.0		Mr. & Mrs. Smith (2005)	2005-06-10	1.0		478207520.0	Simon Kinberg
2544		6927.0		Christophe Beck		Sony Classics	694600.0		Documentary	34634.0	27668.0	34634.0	PG			57.0	2015-01-23	1.0	76.0	5.0		Red Army (2015)	2015-01-23	1.0		694600.0	
2545		8906.0				Eros	1308463.65235		Foreign	882588.277999	263616.04014	854947.0	Unrated			20.0	2012-07-13	4.0	146.0	96.0		Cocktail (2012) (2012)	2012-07-13	1.0		1227789.0	
2546	Robert DeNiro,Edward Norton,Marlon Brando,Angela Bassett	12400.0		Howard Shore	Frank Oz	Paramount	127361618.651	42472207.0	Crime	35332063.9655	20992473.9026	26400445.0	R		68000000.0	3.0	2001-07-13	15.0	123.0	2129.0		The Score (2001)	2001-07-13	1.0		113579918.0	Lem Dobbs,Kario Salem,Scott Marshall Smith
2547	Dane Cook ,Julie Bowen ,Patrick Warburton ,Ed Harris,Teri Hatcher ,Regina King ,Brad Garrett 	6748.0		Mark Mancina	Roberts Gannaway	Buena Vista	59306327.1226	92220853.0	Animation	25848467.1405	15372609.2885	25817822.0	PG	John Lasseter	50000000.0	3.0	2014-07-18	2.0	83.0	3826.0		Planes: Fire & Rescue (2014)	2014-07-18	1.0		151386640.0	
2548	Dwayne Johnson,Seann William Scott,Sarah Michelle Gellar,Justin Timberlake,Kevin Smith	2478.0			Richard Kelly	Samuel Goldwyn	359846.118471	99363.0	Sci-Fi	19827.434215	197370.133417	17345.0	R			75.0	2007-11-14	9.0	144.0	7.0		Southland Tales (2007)	2007-11-09	0.0		374743.0	Richard Kelly
2549	Adam Carolla	6581.0				International Film Circuit	537578.086751		Sports Comedy	144902.006284	144914.11567	131627.0	R			44.0	2008-03-21	8.0	88.0	20.0		The Hammer (2008)	2008-03-21	1.0			
2550	Anna Faris,Dan Aykroyd ,Justin Timberlake	7970.0				Warner Bros.	118437712.663	101338130.0	Family Comedy	30450861.6835	27560277.3253	28014839.0	PG	Karen Rosenfelt	80000000.0	2.0	2010-12-17	6.0	82.0	3515.0		Yogi Bear (2010)	2010-12-17	1.0		201584141.0	Joshua Sternin,Jeffrey Ventimilia
2551	Martin Freeman,Gwyneth Paltrow,Penelope Cruz,Danny DeVito,Simon Pegg	9243.0			Jake Paltrow	Yari Film Group	29324.2310429	485643.0	Fantasy Drama	21130.5921859	3257.89492722	18485.0	R			69.0	2007-10-05	9.0	93.0	2.0		The Good Night (2007)	2007-10-05	1.0		508084.0	Jake Paltrow
2552		2515.0				UTV Communications	240671.163094	234447.0	Foreign	163953.228818	49023.6759067	148403.0	Unrated			39.0	2009-10-16	7.0	135.0	59.0		Main Aurr Mrs. Khanna (2009)	2009-10-16	1.0		431630.0	
2553	Steve Martin	7653.0	Michael Chapman		Carl Reiner	Universal	109770173.989		Crime Comedy	16579574.9389	14782308.1858	6750271.0	PG			2.0	1982-05-21	34.0	89.0	882.0		Dead Men Don't Wear Plaid (1982)	1982-05-21	1.0			
2554	Sylvester Stallone,Sharon Stone	7837.0				Warner Bros.	146720662.007	113000000.0	Action	31611102.8268	18944959.1273	19765525.0	R		45000000.0	1.0	1994-10-07	22.0	110.0	2522.0		The Specialist (1994)	1994-10-07	1.0		170362582.0	
2555		1966.0				First Run	22543.9714005		Documentary	2029.56271505	7358.4552558	1966.0	Unrated				2012-09-05	4.0	78.0	1.0		Girl Model (2012)	2012-08-31	0.0			
2556	Bruce Willis,Lily Tomlin,Melissa McCarthy	9014.0		Marc Shaiman	Jon Turteltaub	Buena Vista	132030816.652	40625631.0	Fantasy Comedy	26885961.4568	22174890.7164	19533462.0	PG	Hunt Lowry	65000000.0	4.0	2000-07-07	16.0	104.0	2167.0		Disney's The Kid (2000)	2000-07-07	1.0		110317580.0	Audrey Wells
2557	George Clooney,Renee Zellweger,John Krasinski,Jonathan Pryce	5670.0		Randy Newman	George Clooney	Universal	38021379.0719	9925554.0	Sports Comedy	17283301.9213	8648143.24248	15699915.0	PG-13	Grant Heslov,Casey Silver,Jeffrey Silver	58000000.0	3.0	2008-04-04	8.0	114.0	2769.0		Leatherheads (2008)	2008-04-04	1.0		41299492.0	
2558		4214.0				First Run	12406.6225505		Documentary	4580.42722053	647.825017427	4204.0	Unrated			64.0	2010-01-08	6.0	74.0	1.0		Waiting for Armageddon (2010)	2010-01-08	1.0			
2559	Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris	58013.0			Sofia Coppola	Focus Features	73980375.4733	75138403.0	Comedy	1718748.09754	4659345.88093	1334291.0	R	Ross Katz	4000000.0	15.0	2003-09-12	13.0	102.0	23.0		Lost in Translation (2003)	2003-09-12	1.0		119723856.0	Sofia Coppola
2560	Jemaine Clement	10226.0			Taika Waititi	Miramax	289891.865779	1076191.0	Comedy	35069.8099903	68133.442578	30679.0	R			54.0	2007-06-15	9.0	87.0	3.0		Eagle Vs. Shark (2007)	2007-06-15	1.0		1298037.0	
2561		2177.0				Indican	75476.9738386		Foreign	7926.05236559	4172.37299539	6531.0	Unrated			85.0	2005-07-29	11.0	86.0	3.0		God's Sandbox (2005)	2005-07-29	1.0			
2562		3548.0				Alliance	14355.9044607	8017499.0	Foreign	11716.3807796	1324.32641905	10643.0	Unrated			87.0	2008-02-29	8.0	85.0	3.0		Contre-Enquete (2008)	2008-02-29	1.0		8029345.0	
2563		5531.0				Eros	308424.967705	4200000.0	Foreign	175585.391448	44339.5790575	142462.0	Unrated			42.0	2006-08-04	10.0		27.0		Shaadi Karke Phas Gaye Yaar (2006)	2006-08-04	1.0		4423137.0	
2564		20980.0				ThinkFilm	301866.655935		Documentary	25461.4268305	27664.1193804	20980.0	PG-13			69.0	2005-08-17	11.0	70.0	1.0		The Untold Story of Emmett Louis Till (2005)	2005-08-19	1.0			
2565	Russell Crowe,Meg Ryan	4950.0	Slawomir Idziak	Danny Elfman	Taylor Hackford	Warner Bros.	61758403.1393	30162074.0	Romantic Thriller	18428038.7163	10852870.7895	13388526.0	R	Taylor Hackford	65000000.0	3.0	2000-12-08	16.0	135.0	2705.0		Proof of Life (2000)	2000-12-08	1.0		62761005.0	Tony Gilroy
2566	Penelope Cruz	3910.0				Trimark	566226.201012		Romantic Comedy	33378.7086074	99774.7673709	23462.0	R			52.0	1999-05-28	17.0	91.0	6.0		Twice Upon a Yesterday (1999)	1999-05-28	1.0			
2567		14260.0				New Yorker	51235.680702		Unknown	18368.8175	18958.7837283	14260.0	Unrated			93.0	2003-10-10	13.0	100.0	1.0		Sans Soleil (Re-issue) (2003)	2003-10-10	1.0			
2568		6362.0				Eleven Arts	148376.779461	41028401.0	Foreign	100553.017898	15377.6183676	95429.0	Unrated			43.0	2011-01-21	5.0	109.0	15.0		Evangelion 2.0: You Can (Not) Advance (2011)	2011-01-21	1.0		41162041.0	
2569		1944.0				Eleven Arts	175360.557588	60313000.0	Animation	159634.257422	10547.5047944	159445.0	Unrated				2014-01-10	2.0	106.0	82.0		Evangelion: 3.0 You Can (Not) Redo (2014)	2014-01-10	1.0		60487945.0	
2570	Cameron Diaz,Drew Barrymore,Lucy Liu,Bernie Mac,Crispin Glover,Justin Theroux,Robert Patrick,Demi Moore,Rodrigo Santoro,Shia LaBeouf,Matt LeBlanc,Luke Wilson,John Cleese,Carrie Fisher	15225.0		Ed Shearmur	McG	Sony / Columbia	167306800.063	158345677.0	Action Comedy	68346621.4421	27475026.0976	53058550.0	PG-13	Patrick Crowley	120000000.0	1.0	2003-06-27	13.0	105.0	3485.0		Charlie's Angels: Full Throttle (2003)	2003-06-27	1.0		259175788.0	John August
2571	Patricia Clarkson,Ben Kingsley	22983.0				Broad Green Pictures	3447633.0		Comedy	91930.0	176019.0	91930.0	R			41.0	2015-08-21	1.0	89.0	4.0		Learning to Drive (2015)	2015-08-21	1.0		3447633.0	
2572	John Cusack	4709.0			Cameron Crowe	Fox	75925928.4906	733811.0	Romantic Comedy	10017492.9222	8848129.41269	5240844.0	PG-13			3.0	1989-04-14	27.0	100.0	1113.0		Say Anything (1989)	1989-04-14	1.0		21515196.0	Cameron Crowe
2573		9500.0				Eros	1222863.47583	16713933.0	Foreign	732028.858887	209366.86977	664965.0	Unrated			14.0	2008-06-06	8.0	120.0	70.0		Sarkar Raj (2008)	2008-06-06	1.0		17722998.0	
2574	Jeff Bridges,Hailee Steinfeld,Matt Damon,Josh Brolin,Barry Pepper	3679.0	Roger Deakins	Carter Burwell	Ethan Coen,Joel Coen	Paramount	202318572.274	81033922.0	Western	12185435.3172	55481699.7066	11210619.0	PG-13	Ethan Coen,Joel Coen,David Ellison,Megan Ellison,Scott Rudin,Paul Schwake,Steven Spielberg	38000000.0	10.0	2010-12-22	6.0	110.0	3047.0		True Grit (2010)	2010-12-17	0.0		252276927.0	Ethan Coen,Joel Coen
2575	Matthew Broderick	5600.0		David Arnold	Roland Emmerich	Sony / Columbia	288220709.837	242700000.0	Sci-Fi Action	26950820.6438	91275938.8478	18534467.0	PG-13	Dean Devlin	130000000.0	3.0	1998-05-20	18.0	140.0	3310.0		Godzilla (1998)	1998-05-15	0.0		379014294.0	Dean Devlin,Ted Elliott,Terry Rossio
2576	Anne Hathaway,Jesse Eisenberg,Leslie Mann,Jemaine Clement,Jamie Foxx,Tracy Morgan,Kristin Chenoweth ,Rodrigo Santoro ,George Lopez ,Bruno Mars ,Janelle Monae 	13395.0		John Powell	Carlos Saldanha	Fox	131850886.312	368563537.0	Animation	52948153.6879	29658224.871	52885380.0	G	Bruce Anderson,John C. Donkin	103000000.0	2.0	2014-04-11	2.0	101.0	3948.0		Rio 2 (2014)	2014-04-11	1.0		500101972.0	Yoni Brenner,Carlos Saldanha
2577	Craig T. Nelson,Holly Hunter,Samuel L. Jackson,Brad Bird	23647.0		Michael Giacchino	Brad Bird	Buena Vista	411593897.086	370001000.0	Animation	116694780.42	72807943.5549	93004485.0	PG	John Lasseter	92000000.0	1.0	2004-11-05	12.0	115.0	3933.0		The Incredibles (2004)	2004-11-05	1.0		631442092.0	Brad Bird
2578	Luke Bracey,Delroy Lindo,Teresa Palmer,Edgar Ramirez,Ray Winstone	5356.0				Warner Bros.	28782481.0	104936230.0	Action	15584535.0	9024088.0	15584535.0	PG-13		105000000.0	8.0	2015-12-25	1.0	113.0	2910.0		Point Break (2015) (2015)	2015-12-25	1.0		133718711.0	
2579	Bill Pullman,Aaron Stanford,Sandra Oh,Dylan Baker,Emmanuelle Chriqui,Jamie Harris	5524.0				Vitagraph	18877.7608837		Unknown	6931.08474325	213.302752779	5524.0	R			114.0	2004-09-24	12.0	100.0	1.0		Rick (2004)	2004-09-24	1.0			
2580	Robert DeNiro	8686.0		Danny Elfman	Martin Brest	Universal	154196523.399	43200000.0	Action Comedy	20152866.2974	14142642.1045	10058705.0	R			4.0	1988-07-22	28.0	127.0	1158.0		Midnight Run (1988)	1988-07-22	1.0		81613606.0	George Gallo
2581		15975.0				Oscilloscope Pictures	186776.654457		Thriller	33665.5411023	38849.7183236	31590.0	R			62.0	2011-08-05	5.0	105.0	2.0		Bellflower (2011)	2011-08-05	1.0		168226.0	
2582	Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,Lukas Haas	218130.0			Alejandro González Iñárritu	Fox	183637894.0	349288091.0	Action / Adventure	872519.0	684382.0	872519.0	R	Steve Golin,Alejandro González Iñárritu,David Kanter,Arnon Milchan,Keith Redmon	135000000.0	24.0	2015-12-25	1.0	151.0	4.0		The Revenant (2015)	2015-12-25	1.0		532925985.0	Alejandro González Iñárritu,Mark Smith
2583		7715.0			Joel Schumacher	Paramount	80474545.7341		Romantic Comedy	7889739.70462	8010704.38885	4127669.0	PG-13			6.0	1989-02-10	27.0	110.0	535.0		Cousins (1989)	1989-02-10	1.0			
2584	Meryl Streep,Kevin Kline,Sebastian Stan	6292.0			Jonathan Demme	TriStar	26822144.0	14503184.0	Comedy / Drama	10085717.0	7164453.0	10085717.0	PG-13	Mason Novick,Marc Platt	18000000.0	7.0	2015-08-07	1.0	101.0	1603.0		Ricki and the Flash (2015)	2015-08-07	1.0		41325328.0	Diablo Cody
2585	James Gandolfini,Gary Oldman,Christopher Walken,Brad Pitt,Val Kilmer,Samuel L. Jackson	4432.0		Hans Zimmer	Tony Scott	Warner Bros.	33042775.1778		Crime	9115194.86523	5883003.05764	5557178.0	R	Gary Barber,Samuel Hadida,James G. Robinson		3.0	1993-09-10	23.0	121.0	1254.0		True Romance (1993)	1993-09-10	1.0			Quentin Tarantino
2586		10094.0			Ken Loach	Sony Classics	560592.0	2606000.0	Historical Drama	30283.0	57779.0	30283.0	PG-13			47.0	2015-07-03	1.0	109.0	3.0		Jimmy's Hall (2015)	2015-07-03	1.0		3166592.0	
2587	John Goodman	4270.0		Elmer Bernstein	Arthur Hiller	Universal	50032208.3512	2400000.0	Sports Drama	11296444.7685	5986545.99116	6686825.0	PG			5.0	1992-04-17	24.0	115.0	1566.0		The Babe (1992)	1992-04-17	1.0		19930973.0	John Fusco
2588	Anthony Hopkins,Vanessa Redgrave,Helena Bonham Carter,Emma Thompson	96958.0			James Ivory	Sony Classics	74106787.4512		Period Drama	163796.823136	144386.09377	96958.0	PG			17.0	1992-03-13	24.0	140.0	1.0		Howards End (1992)	1992-03-13	1.0			Ruth Prawer Jhabvala
2589		2449.0				Focus Features	6469813.0		Historical Drama	4312355.0	1670630.0	4312355.0	PG-13			8.0	2016-03-11	0.0	111.0	1761.0		The Young Messiah (2016)	2016-03-11	1.0		6469813.0	
2590	Domhnall Gleeson,Rachel McAdams,Bill Nighy,Tom Hollander	8672.0			Richard Curtis	Universal	15861674.2448	71777528.0	Comedy	1544123.17055	6702790.94672	1517673.0	R	Tim Bevan,Eric Fellner		12.0	2013-11-01	3.0	123.0	175.0		About Time (2013)	2013-11-01	1.0		87100449.0	Richard Curtis
2591		33036.0				IFC	462751.307575		Comedy	35908.6363686	30489.0800987	33036.0	Unrated			50.0	2010-11-12	6.0	99.0	1.0		Tiny Furniture (2010)	2010-11-12	1.0		391674.0	
2592	Paul Rudd,Emile Hirsch	4160.0			David Gordon Green	Magnolia	212351.678437		Comedy / Drama	59251.9607868	44240.8264658	58237.0	R			52.0	2013-08-09	3.0	94.0	14.0		Prince Avalanche (2013)	2013-08-09	1.0			David Gordon Green
2593	David Arquette,Neve Campbell,Courteney Cox,Skeet Ulrich,Rose McGowan,Matthew Lillard,Jamie Kennedy,Drew Barrymore,Liev Schreiber	8618.0		Marco Beltrami	Wes Craven	Dimension Films	235151113.119	70000000.0	Horror	18395686.9798	25516118.7622	12177537.0	R	Cathy Konrad	14000000.0	4.0	1996-12-20	20.0	110.0	1413.0		Scream (1996)	1996-12-20	1.0		173046663.0	Kevin Williamson
2594		1790.0				China Lion	7189.18590196		Foreign	5464.60637371	1229.05315573	5361.0	Unrated			83.0	2013-11-08	3.0	121.0	3.0		Finding Mr. Right (2013)	2013-11-08	1.0		6945.0	
2595	Anton Yelchin,Tea Leoni,David Duchovny,Robin Williams,Frank Langella	21897.0		Geoff Zanelli	David Duchovny	Lions Gate	572244.06977	667.0	Comedy / Drama	53147.3910958	13393.3415873	43793.0	PG-13	Jeff Skoll,Bob Yari		61.0	2005-04-15	11.0	97.0	2.0		House of D (2005)	2005-04-15	1.0		389199.0	David Duchovny
2596	Jeff Daniels,James Franco,Jon Hamm,Mary-Louise Parker,David Strathairn	11958.0				Oscilloscope Pictures	729361.95844	565924.0	Drama	77985.7408143	94982.4518839	71747.0	R	Gus Van Sant		51.0	2010-09-24	6.0	90.0	6.0		Howl (2010)	2010-09-24	1.0		1183258.0	
2597		438.0				Strand	4480.0		Drama	438.0	742.0	1116.0	Unrated			100.0	2015-11-20	1.0	88.0	1.0		The Summer of Sangaile (2015)	2015-12-04	3.0		4480.0	
2598		5610.0				Zeitgeist	50461.0838449	1898907.0	Foreign	6197.83706307	14657.1665447	5610.0	Unrated			87.0	2009-03-27	7.0	109.0	1.0		Three Monkeys (2009)	2009-03-27	1.0		1940250.0	
2599	Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,Patrick Wilson	20217.0	Dariusz Wolski	Marc Streitenfeld	Ridley Scott	Fox	134787546.777	276877385.0	Sci-Fi Action	70877911.8233	30854879.3366	68658127.0	R	Damon Lindelof,Ridley Scott,Tony Scott	130000000.0	2.0	2012-06-08	4.0	124.0	3396.0		Prometheus (2012)	2012-06-08	1.0		403354469.0	Damon Lindelof,Jon Spaihts
2600	Larenz Tate,Nia Long	6048.0			Theodore Witcher	New Line	27214500.2359	303414.0	Romance	7323621.50968	4850187.4115	4959312.0	R	Jay Stern,Nick Wechsler		6.0	1997-03-14	19.0	109.0	820.0		Love Jones (1997)	1997-03-14	1.0		12782749.0	
2601	Anna Kendrick	29784.0		Stephen Trask	Todd Graff	IFC	2704420.26752	1020494.0	Comedy	115096.228082	107197.378929	89242.0	PG-13	Michael Shamberg,Stacey Sher,John Wells		46.0	2003-07-25	13.0	114.0	3.0		Camp (2003)	2003-07-25	1.0		2650356.0	Todd Graff
2602		1939.0				MPE	171263.253013		Unknown	35755.44393	35169.159522	27139.0	PG-13			71.0	2002-10-11	14.0		14.0		Handcart (2002)	2002-10-11	1.0			
2603	Ryan Phillippe,Rachael Leigh Cook,Claire Forlani,Tim Robbins	2608.0				MGM	20289844.3472	6867516.0	Thriller	8491041.01155	4037780.65932	6344538.0	PG-13	David Hoberman,Nick Wechsler		12.0	2001-01-12	15.0	108.0	2433.0		Antitrust (2001)	2001-01-12	1.0		18195610.0	Howard Franklin
2604	Adrien Brody,Milla Jovovich,Vera Farmiga,Jared Harris	8187.0				Artisan	118881.779247		Unknown	52727.2655489	31616.0067826	40933.0	R			64.0	2003-09-12	13.0	90.0	5.0		Dummy (2003)	2003-09-12	1.0			
2605		2867.0				Balcony Releasing	36982.743498		Documentary	3370.67330853	4223.04099206	2867.0	Unrated			95.0	2006-02-03	10.0	80.0	1.0		Trudell (2006)	2006-02-03	1.0			
2606		4591.0				Fox	87261744.74	1398307.0	Family Comedy	13344557.3781	9579825.27727	8135655.0	PG			2.0	1993-04-09	23.0	101.0	1772.0		The Sandlot (1993)	1993-04-09	1.0		33832313.0	
2607	Michael Fassbender,Mia Wasikowska,Judi Dench,Jamie Bell,Imogen Poots,Sally Hawkins	63276.0		Dario Marianelli	Cary Fukunaga	Focus Features	12482413.0753	23467967.0	Romance	266695.360898	697996.778131	253105.0	PG-13			29.0	2011-03-11	5.0	121.0	4.0		Jane Eyre (2011)	2011-03-11	1.0		34710627.0	
2608	Michael K. Williams,Morgan Freeman,Casey Affleck,Michelle Monaghan,Ed Harris,Amy Ryan	4325.0	John Toll		Ben Affleck	Miramax	26526816.2227	14319481.0	Drama / Thriller	8469982.68517	5874016.56117	7409524.0	R	Ben Affleck,Sean Bailey,Alan Ladd Jr.,Danton Rissner	19000000.0	5.0	2007-10-19	9.0	114.0	1713.0		Gone Baby Gone (2007)	2007-10-19	1.0		34619699.0	Ben Affleck
2609	Jodie Foster,Anthony Hopkins	12657.0		Howard Shore	Jonathan Demme	Orion Pictures	395934153.048	142000000.0	Thriller	32973890.3104	27651285.508	18948193.0	R	Gary Goetzman	19000000.0	1.0	1991-02-14	25.0	118.0	1497.0		The Silence of the Lambs (1991)	1991-02-15	1.0		272742922.0	
2610	Tony Jaa,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,Jordana Brewster,Tyrese Gibson,Chris 'Ludacris' Bridges,Lucas Black,Jason Statham,Djimon Hounsou,Kurt Russell	47935.0		Brian Tyler	James Wan	Universal	353007020.0	1163038891.0	Action	191930470.0	73423610.0	191930470.0	PG-13	Vin Diesel,Neal H. Moritz,Thomas Tull	190000000.0	1.0	2015-04-03	1.0	137.0	4004.0		Furious 7 (2015)	2015-04-03	1.0		1516045911.0	Chris Morgan
2611		1677.0				Samuel Goldwyn	41219.0343312		Documentary	34114.3644965	6398.60537782	33530.0	PG			64.0	2013-09-20	3.0	90.0	20.0		The Short Game (2013)	2013-09-20	1.0			
2612	Shawn Wayans,Marlon Wayans,Kerry Washington,Tracy Morgan,Rob Schneider	11690.0		Teddy Castellucci	Keenen Ivory Wayans	Sony (Revolution)	81060506.6355	42950069.0	Comedy	34813190.9875	18166477.1687	29611122.0	PG-13	Rick Alvarez,Joe Roth	64000000.0	3.0	2006-07-14	10.0	90.0	2533.0		Little Man (2006)	2006-07-14	1.0		101595121.0	
2613	Debra Winger,John Malkovich,Campbell Scott,Timothy Spall	56412.0	Vittorio Storaro			Warner Bros.	6824070.42665		Drama	306898.025976	206736.128799	169235.0	R			14.0	1990-12-14	26.0	138.0	3.0		The Sheltering Sky (1990)	1990-12-14	1.0			
2614	Joss Ackland,Hayley Atwell,Brenda Fricker,Vanessa Redgrave,Imelda Staunton	9146.0				Strand	94810.0480822	675950.0	Comedy / Drama	10068.403515	9840.5268993	9146.0	Unrated			75.0	2008-11-14	8.0	100.0	1.0		How About You (2008)	2008-11-14	1.0		754184.0	
2615	Val Kilmer,Meg Ryan	14373.0			Oliver Stone	TriStar	104226088.664		Music Drama	21010147.4775	13924807.9172	12073320.0	R	Brian Grazer		2.0	1991-03-01	25.0	141.0	840.0		The Doors (1991)	1991-03-01	1.0			
